X,Y,EXPEDIENTE,OPERADOR,PROYECTO,NUM_ACT_AD,FEC_ACT_AD,ART_ACT_AD,VEREDA,MUNICIPIO,DEPTO,CAR,NOMBRE,ID_MON_RUI,ALTURA,OBSTACULOS,DISTANCIA,SUBSECTOR,OBSERV,COTA,COOR_ESTE,COOR_NORTE,icon_url
-76.2125600028388,3.66050000141185,<Null>,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,<Null>,,<Null>,Santa Elena,"76248","76",1033.00000000000,R13_20,R13_20,4.00000000000,"-",0.00000000000,80209.00000000000,<Null>,1226.00000000000,4643202.97099999990,1963127.51200000010,./0.png
-76.3364400013427,3.40262000494259,<Null>,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,<Null>,,<Null>,Madre Vieja,"76130","76",1033.00000000000,R18_20,R18_20,4.00000000000,"-",0.00000000000,80211.00000000000,<Null>,983.00000000000,4629326.71499999985,1934636.32300000009,./0.png
-76.3531100002214,3.36335000420836,<Null>,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,<Null>,,<Null>,Buchitolo,"76130","76",1033.00000000000,R19_20,R19_20,4.00000000000,"-",0.00000000000,80209.00000000000,<Null>,982.00000000000,4627457.56599999964,1930296.38599999994,./0.png
-76.4232699968095,3.36912000230758,<Null>,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,<Null>,,<Null>,San Joaquín,"76130","76",1033.00000000000,R20_20,R20_20,4.00000000000,"-",0.00000000000,80209.00000000000,<Null>,961.00000000000,4619655.59499999974,1930962.15800000005,./0.png
-76.4966699987269,3.36781000210774,<Null>,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,<Null>,,<Null>,Valle del Lili,"76001","76",1033.00000000000,R21_20,R21_20,4.00000000000,"-",0.00000000000,80205.00000000000,<Null>,953.00000000000,4611489.89599999972,1930846.15999999992,./0.png
-75.8526900018453,4.85059999721535,<Null>,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,<Null>,,<Null>,Caimalito,"66001","66",1004.00000000000,R22_20,R22_20,4.00000000000,"-",0.00000000000,80205.00000000000,<Null>,1123.00000000000,4683693.18200000003,2094651.12000000011,./0.png
-76.2476100023343,3.53870999856629,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Agua Clara,"76520","76",1033.00000000000,R1_21,R1_21,4.00000000000,"Cañaduzal 20 metros aprox.
Arboles 40 metros aprox.",0.00000000000,80205.00000000000,,1067.00000000000,4639258.04600000009,1949663.33300000010,./0.png
-76.2476900031666,3.54902999832345,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Barrancas,"76520","76",1033.00000000000,R2_21,R2_21,4.00000000000,"Vivienda 20 metros aprox.
Arboles 30 metros aprox.",0.00000000000,80205.00000000000,,1077.00000000000,4639253.15600000042,1950805.45399999991,./0.png
-76.254809999592,3.60177000357469,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Boyacá,"76520","76",1033.00000000000,R3_21,R3_21,4.00000000000,"Vivienda 40 metros aprox.
Arboles 30 metros aprox.",0.00000000000,80205.00000000000,,1048.00000000000,4638482.13100000005,1956644.89299999992,./0.png
-76.2577100027811,3.63359000274089,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Santa Elena,"76248","76",1033.00000000000,R4_21,R4_21,4.00000000000,Árboles 20 metros aprox.,0.00000000000,80205.00000000000,,1056.00000000000,4638172.32299999986,1960167.52799999993,./0.png
